sample_id,strain,ref,fp_r1,fp_r2
NGS001,s001,U00096.3,SRR23871383_R1.fastq.gz,SRR23871383_R2.fastq.gz
NGS002,s002,U00096.3,SRR23871384_R1.fastq.gz,SRR23871384_R2.fastq.gz
